id,observed_on_string,observed_on,Unnamed: 3,year,time_observed_at,time_zone,user_id,user_login,Source,created_at,updated_at,quality_grade,license,url,image_url,place_guess,latitude,longitude,species_guess,scientific_name,common_name,taxon_id,combined lat and long
,,2018,,2018,,,,Orlova-Bienkowskaja et al. (2018),Published Record,,,,,Orlova-Bienkowskaja et al. (2018),,"Kholmskaya,Russia",44.8432658,38.3950178,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"44.8432658,38.3950178"
,,2018,,2018,,,,Haelewaters et al. (2022),Published Record,,,,,Haelewaters et al. (2022),,"Delemont,Switzerland",47.3615882,7.354445,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"47.3615882,7.354445"
,,2019,,2019,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Rodigo,Italy",45.199577,10.624984,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"45.199577,10.624984"
,,2019,,2019,,,,This paper: Additional material examined,Published Record,,,,,This paper: Additional material examined,,"Nord-Est,Romania",47.13423195,26.65556501,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"47.13423195,26.65556501"
,,2019,,2019,,,,This paper: Additional material examined,Published Record,,,,,This paper: Additional material examined,,"Hunedoara,Romania",45.7954947,22.94505593,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"45.7954947,22.94505593"
,,2019,,2019,,,,This paper: Holotypus,Published Record,,,,,This paper: Holotypus,,"Whitley County,USA",36.7324324,-84.1512134,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"36.7324324,-84.1512134"
,,2020,,2020,,,,This paper: Additional material examined,Published Record,,,,,This paper: Additional material examined,,"Herzele,Belgium",50.870107,3.899028121,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"50.870107,3.899028121"
,,2020,,2020,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Valjevo,Serbia",44.2708719,19.8863297,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"44.2708719,19.8863297"
,,2020,,2020,,,,This paper: Additional material examined,Published Record,,,,,This paper: Additional material examined,,Elin County,58.1197815,13.4520194,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"58.1197815,13.4520194"
,,2020,,2020,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Ciudad Real,El Salvador",13.9929039,-89.6415255,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"13.9929039,-89.6415255"
,,2020,,2020,,,,This paper: Additional material examined,Published Record,,,,,This paper: Additional material examined,,"Alachua County,USA",29.675568,-82.3640109,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"29.675568,-82.3640109"
,,2021,,2021,,,,This paper: Additional material examined,Published Record,,,,,This paper: Additional material examined,,"Oudenaarde,Belgium",50.8433705,3.6041443,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"50.8433705,3.6041443"
,,2021,,2021,,,,Lubbers et al. (2022),Published Record,,,,,Lubbers et al. (2022),,"Ceske Budejovice,Czech Republic",48.9747357,14.474285,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"48.9747357,14.474285"
,,2021,,2021,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Moncalieri,Italy",45.0004614,7.6847543,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"45.0004614,7.6847543"
,,2021,,2021,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Grevenmacher,Luxembourg",49.679313,6.4430979,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"49.679313,6.4430979"
,,2021,,2021,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Cankaya,Turkey ",39.9086703,32.8564947,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"39.9086703,32.8564947"
,,2021,,2021,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Kholmskaya,Russia",44.8432658,38.3950178,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"44.8432658,38.3950178"
,,2021,,2021,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"MedellÃ­n,Colombia",6.2443382,-75.573553,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"6.2443382,-75.573553"
,,2022,,2022,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Dauphin County,USA",40.398036,-76.8115168,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.398036,-76.8115168"
,,2022,,2022,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Jackson County,USA",28.9224028,-96.55561,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"28.9224028,-96.55561"
,,2022,,2022,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Jefferson County,USA",29.834772,-94.1704496,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"29.834772,-94.1704496"
,,2022,,2022,,,,iNaturalist*,Published Record,,,,,iNaturalist*,,"Washington County,USA",30.2226352,-96.3936114,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"30.2226352,-96.3936114"
25204462,2009/06/20 3:21 PM HKT,20/06/2009,,,2009-06-20 07:21:00 UTC,Hong Kong,495142,portioid,iNaturalist,2019-05-16 09:08:15 UTC,2021-12-08 02:49:36 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/25204462,https://inaturalist-open-data.s3.amazonaws.com/photos/8257176/medium.jpg,"Nippes, Cologne, Germany",50.96242,6.962525,Green Beetle Hanger,Hesperomyces virescens,,,"50.96242,6.962525"
,,19/06/2010,,,19/06/2010 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.23614,6.8337,,Hesperomyces virescens,,,"51.23614,6.8337"
,,14/08/2010,,,14/08/2010 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.23935,6.8209,,Hesperomyces virescens,,,"51.23935,6.8209"
69427892,2010/11/12 10:44 PM CET,12/11/10 0:00,,,2010-11-12 21:44:00 UTC,Paris,3771288,faluke,iNaturalist,2021-02-11 21:46:20 UTC,2021-02-11 21:46:20 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/69427892,https://inaturalist-open-data.s3.amazonaws.com/photos/112644571/medium.jpg,"AlmerÃƒÂ­a, EspaÃƒÂ±a",36.85854,-2.63191,Stigmatomyces geomyzae,Stigmatomyces geomyzae,,,"36.85854,-2.63191"
,,7/5/11 0:00,,,7/5/11 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.24526,6.860876,,Hesperomyces virescens,,,"51.24526,6.860876"
,,24/03/2012,,,24/03/2012 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.93969,7.078071,,Hesperomyces virescens,,,"50.93969,7.078071"
62424895,########,30/03/2014,,,,Berlin,78075,ppinat,iNaturalist,2020-10-12 19:45:13 UTC,2021-03-10 05:29:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/62424895,https://inaturalist-open-data.s3.amazonaws.com/photos/100014815/medium.jpg,"Laudenbach, Germany",49.60617,8.64858,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,,,"49.60617,8.64858"
,,30/03/2014,,,30/03/2014 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,49.60612,8.648623,,Hesperomyces virescens,,,"49.60612,8.648623"
,,30/04/2014,,,30/04/2014 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.68711,6.960416,,Hesperomyces virescens,,,"51.68711,6.960416"
,,1/5/14 0:00,,,1/5/14 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.36536,6.63643,,Hesperomyces virescens,,,"51.36536,6.63643"
,,1/5/14 0:00,,,1/5/14 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.68711,6.960416,,Hesperomyces virescens,,,"51.68711,6.960416"
108000000,2014/08/21 4:46 PM CEST,21/08/2014,,,2014-08-21 14:46:00 UTC,Paris,5195047,ingridaltmann,iNaturalist,2022-02-27 17:58:28 UTC,2022-02-28 00:27:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107570512,https://inaturalist-open-data.s3.amazonaws.com/photos/180946090/medium.jpeg,"Arnschwang, Deutschland",49.26594,12.80375,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,Green Beetle Hanger,,"49.26594,12.80375"
,,20/04/2015,,,20/04/2015 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,49.10798,8.373041,,Hesperomyces virescens,,,"49.10798,8.373041"
108000000,2015/08/09 12:40 PM CEST,9/8/15 0:00,,,2015-08-09 10:40:00 UTC,Paris,5195047,ingridaltmann,iNaturalist,2022-02-28 18:44:12 UTC,2022-03-09 18:07:15 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/107648356,https://inaturalist-open-data.s3.amazonaws.com/photos/181095621/medium.jpeg,"93437 Furth im Wald, Deutschland",49.30546,12.86987,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"49.30546,12.86987"
,,10/5/16 0:00,,,10/5/16 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.51205,7.23424,,Hesperomyces virescens,,,"51.51205,7.23424"
4302883,2016/09/02 2:45 PM EDT,2/9/16 0:00,,,2016-09-02 18:45:00 UTC,Eastern Time (US & Canada),30601,calopteryx,iNaturalist,2016-10-09 04:12:33 UTC,2020-06-11 04:45:39 UTC,research,CC0,http://www.inaturalist.org/observations/4302883,https://inaturalist-open-data.s3.amazonaws.com/photos/5164841/medium.jpeg,"Pomena, Croatia",42.78693,17.34415,Green Beetle Hanger,Hesperomyces virescens,,,"42.78693,17.34415"
66939776,2016/09/14 9:38 AM CEST,14/09/2016,,,2016-09-14 07:38:00 UTC,Vienna,827504,gernotkunz,iNaturalist,2020-12-22 23:35:16 UTC,2022-02-13 08:06:02 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/66939776,https://static.inaturalist.org/photos/107997951/medium.jpg,"Graz-Umgebung, Ãƒâ€“sterreich",47.20926,15.34792,Arthrorhynchus,Arthrorhynchus,,,"47.20926,15.34792"
71001865,2016/12/04 6:09 PM GMT,4/12/16 0:00,,,2016-12-04 18:09:00 UTC,London,894051,victoriajburton,iNaturalist,2021-03-11 15:20:54 UTC,2021-11-18 13:17:36 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/71001865,https://inaturalist-open-data.s3.amazonaws.com/photos/115527296/medium.jpg,Timber Copse,50.73073,-1.25036,Laboulbenia thaxteri,Laboulbenia thaxteri,,,"50.73073,-1.25036"
,,10/5/17 0:00,,,10/5/17 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.36536,6.63643,,Hesperomyces virescens,,,"51.36536,6.63643"
,,24/05/2017,,,,Slovenia,, Kus Veenvliet Jana,Life Artemis,,,,,,,,46.039308,14.476124,,Hesperomyces virescens,,,"46.039308,14.476124"
7473638,Sun Aug 13 2017 10:24:44 GMT+0200 (GMT+2),13/08/2017,,,2017-08-13 08:24:44 UTC,Africa/Johannesburg,547996,quadrifolia,iNaturalist,2017-08-13 08:26:09 UTC,2018-08-12 19:38:38 UTC,research,,https://www.inaturalist.org/observations/7473638,https://static.inaturalist.org/photos/9728139/medium.jpg,"NachtigallenstraÃƒÅ¸e 16, EmsbÃƒÂ¼ren, Niedersachsen, DE",52.39231,7.287009,Green Beetle Hanger,Hesperomyces virescens,,,"52.39231,7.287009"
,,14/08/2017,,,14/08/2017 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.48758,6.907139,,Hesperomyces virescens,,,"51.48758,6.907139"
,,3/9/17 0:00,,,3/9/17 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.48758,6.907139,,Hesperomyces virescens,,,"51.48758,6.907139"
,,13/10/2017,,,13/10/2017 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.48321,6.905183,,Hesperomyces virescens,,,"51.48321,6.905183"
,,4/11/17 0:00,,,4/11/17 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.68711,6.960416,,Hesperomyces virescens,,,"51.68711,6.960416"
,,9/3/18 0:00,,,9/3/18 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.26295,7.197912,,Hesperomyces virescens,,,"51.26295,7.197912"
10199507,########,11/3/18 0:00,,,2018-03-11 21:56:06 UTC,Copenhagen,4859,dhobern,iNaturalist,2018-03-12 06:47:28 UTC,2018-05-02 18:26:47 UTC,needs_id,CC0,https://www.inaturalist.org/observations/10199507,https://inaturalist-open-data.s3.amazonaws.com/photos/14098659/medium.jpg,"Utterslev, Hovedstaden, Denmark",55.71764,12.51099,Laboulbenia,Laboulbenia,,,"55.71764,12.51099"
,,23/04/2018,,,23/04/2018 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.61666,7.950153,,Hesperomyces virescens,,,"51.61666,7.950153"
25248448,Sun May 06 2018 15:07:27 GMT+0200 (GMT+2),6/5/18 0:00,,,2018-05-06 13:07:27 UTC,Africa/Johannesburg,32124,martingrimm,iNaturalist,2019-05-17 03:36:18 UTC,2020-06-11 04:44:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25248448,https://inaturalist-open-data.s3.amazonaws.com/photos/17511186/medium.jpg,"Sachsen, DE",51.32645,12.26709,Green Beetle Hanger,Hesperomyces virescens,,,"51.32645,12.26709"
,,8/5/18 0:00,,,8/5/18 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.61666,7.950153,,Hesperomyces virescens,,,"51.61666,7.950153"
,,12/5/18 0:00,,,12/5/18 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.56843,6.841049,,Hesperomyces virescens,,,"51.56843,6.841049"
42563500,2018/05/18 10:59 AM CEST,18/05/2018,,,2018-05-18 08:59:00 UTC,Paris,2032730,waldgeist,iNaturalist,2020-04-19 13:02:26 UTC,2020-06-11 04:40:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/42563500,https://inaturalist-open-data.s3.amazonaws.com/photos/45734346/medium.jpeg,"Neunkirchen, Ãƒâ€“sterreich",47.66847,16.13237,Green Beetle Hanger,Hesperomyces virescens,,,"47.66847,16.13237"
25248594,2018/05/23 10:34 PM CEST,23/05/2018,,,2018-05-23 20:34:00 UTC,Berlin,32124,martingrimm,iNaturalist,2019-05-17 03:39:50 UTC,2020-06-11 04:44:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25248594,https://inaturalist-open-data.s3.amazonaws.com/photos/18492850/medium.jpg,"RÃƒÂ¶tha, Deutschland",51.22734,12.42449,Green Beetle Hanger,Hesperomyces virescens,,,"51.22734,12.42449"
,,27/05/2018,,,27/05/2018 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.56843,6.841049,,Hesperomyces virescens,,,"51.56843,6.841049"
,,31/05/2018,,,31/05/2018 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.48149,6.782169,,Hesperomyces virescens,,,"51.48149,6.782169"
16518276,2018/06/01 4:56 PM CEST,1/6/18 0:00,,,2018-06-01 14:56:00 UTC,Paris,706076,crawlingworld,iNaturalist,2018-09-14 12:51:51 UTC,2020-06-11 04:42:23 UTC,research,,https://www.inaturalist.org/observations/16518276,https://inaturalist-open-data.s3.amazonaws.com/photos/24864056/medium.jpg,"87745 Eppishausen, Germany",48.1581,10.50972,Hesperomyces virescens,Hesperomyces virescens,,,"48.1581,10.50972"
17157461,2018/07/07 10:06 AM CEST,7/7/18 0:00,,,2018-07-07 08:06:00 UTC,Paris,477431,carnifex,iNaturalist,2018-10-03 14:57:21 UTC,2021-11-12 20:56:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/17157461,https://inaturalist-open-data.s3.amazonaws.com/photos/25995488/medium.jpg,"LandstraÃƒÅ¸e, Wien, Ãƒâ€“sterreich",48.19256,16.38358,Stigmatomyces scaptodrosophilae,Stigmatomyces scaptodrosophilae,,,"48.19256,16.38358"
39198177,2018/07/31 8:10 AM CEST,31/07/2018,,,2018-07-31 06:10:00 UTC,Paris,1646050,podicepscristatus,iNaturalist,2020-02-25 06:34:47 UTC,2020-06-11 04:44:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39198177,https://inaturalist-open-data.s3.amazonaws.com/photos/62155171/medium.jpeg,"Norderstedt, Deutschland",53.68717,10.00765,Green Beetle Hanger,Hesperomyces virescens,,,"53.68717,10.00765"
44744590,2018/10/13 4:32 PM +0300,13/10/2018,,,2018-10-13 13:32:00 UTC,Istanbul,2525734,danamihaimileazachi,iNaturalist,2020-05-03 16:02:27 UTC,2020-06-25 04:23:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/44744590,https://inaturalist-open-data.s3.amazonaws.com/photos/70934226/medium.jpg,"Maneciu, Romania",45.39675,25.93408,Green Beetle Hanger,Hesperomyces virescens,,,"45.39675,25.93408"
17822042,Thu Oct 25 2018 15:06:11 GMT+0200 (GMT+2),25/10/2018,,,2018-10-25 13:06:11 UTC,Africa/Johannesburg,1180078,cdonner,iNaturalist,2018-10-25 13:18:47 UTC,2020-06-11 04:44:34 UTC,research,,https://www.inaturalist.org/observations/17822042,https://static.inaturalist.org/photos/27199737/medium.jpg,"Avenue de Miremont, Geneva, Geneva, CH",46.18688,6.159109,Green Beetle Hanger,Hesperomyces virescens,,,"46.18688,6.159109"
39528628,########,15/11/2018,,,,Paris,1442162,rob-westerduijn,iNaturalist,2020-03-04 13:50:14 UTC,2020-06-11 04:44:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39528628,https://inaturalist-open-data.s3.amazonaws.com/photos/62724102/medium.jpeg,"Wassenaar, Nederland",52.11821,4.34168,Hesperomyces virescens,Hesperomyces virescens,,,"52.11821,4.34168"
,,22/02/2019,,,,UK,,"Napier, Di",British Mycological Society,,,,,,https://frdbi.info/?q=details/record&occurrence_id=9232802,,52.155907,-1.506534,Green Beetle Hanger,Hesperomyces virescens,,,"52.155907,-1.506534"
,,4/3/19 0:00,,,4/3/19 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,48.82964,12.96378,,Hesperomyces virescens,,,"48.82964,12.96378"
22318566,2019-04-09 4:18:12 PM GMT+02:00,9/4/19 0:00,,,2019-04-09 14:18:12 UTC,Africa/Johannesburg,399272,holay,iNaturalist,2019-04-11 09:15:29 UTC,2020-06-11 04:44:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22318566,https://static.inaturalist.org/photos/34566159/medium.jpeg,"AllÃƒÂ©e du Lac, 69006 Lyon, France",45.78256,4.851661,Green Beetle Hanger,Hesperomyces virescens,,,"45.78256,4.851661"
,,15/04/2019,,,15/04/2019 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,53.15799,8.19253,,Hesperomyces virescens,,,"53.15799,8.19253"
,,22/04/2019,,,22/04/2019 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.48149,6.782169,,Hesperomyces virescens,,,"51.48149,6.782169"
22935696,2019-04-23 12:45:10 pm CEST,23/04/2019,,,2019-04-23 10:45:10 UTC,Brussels,63000,qgroom,iNaturalist,2019-04-23 11:11:10 UTC,2020-06-11 04:44:22 UTC,research,CC0,https://www.inaturalist.org/observations/22935696,https://inaturalist-open-data.s3.amazonaws.com/photos/35552493/medium.jpeg,"Avenue J.B. Van Gysel 79, 1780 Wemmel, Belgium",50.92603,4.323672,Green Beetle Hanger,Hesperomyces virescens,,,"50.92603,4.323672"
73107164,2019/04/28 5:10 PM CEST,28/04/2019,,,2019-04-28 15:10:00 UTC,Amsterdam,441130,marcomunari,iNaturalist,2021-04-06 13:56:26 UTC,2021-12-23 21:54:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/73107164,https://inaturalist-open-data.s3.amazonaws.com/photos/39895933/medium.jpg,"Provincia di Mantova, Italia",45.18596,10.67841,Green Beetle Hanger,Hesperomyces virescens,,,"45.18596,10.67841"
42128128,2019/04/29 9:56 AM CEST,29/04/2019,,,2019-04-29 07:56:00 UTC,Berlin,1345798,kai_pirinha,iNaturalist,2020-04-13 23:44:48 UTC,2020-06-11 04:40:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/42128128,https://inaturalist-open-data.s3.amazonaws.com/photos/37694345/medium.jpg,"Frankfurter StraÃƒÅ¸e 253, DÃƒÂ¼sseldorf, Nordrhein-Westfalen, DE",51.14104,6.901717,Green Beetle Hanger,Hesperomyces virescens,,,"51.14104,6.901717"
,,1/5/19 0:00,,,1/5/19 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.25455,10.52238,,Hesperomyces virescens,,,"52.25455,10.52238"
,,1/5/19 0:00,,,1/5/19 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.4878,7.035456,,Hesperomyces virescens,,,"51.4878,7.035456"
,,11/5/19 0:00,,,11/5/19 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.36536,6.63643,,Hesperomyces virescens,,,"51.36536,6.63643"
42127998,2019/05/15 8:41 PM CEST,15/05/2019,,,2019-05-15 18:41:00 UTC,Berlin,1345798,kai_pirinha,iNaturalist,2020-04-13 23:43:09 UTC,2020-06-11 04:40:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/42127998,https://inaturalist-open-data.s3.amazonaws.com/photos/39127226/medium.jpg,"Prinz-Georg-StraÃƒÅ¸e 94Ã¢â‚¬â€œ96, DÃƒÂ¼sseldorf, Nordrhein-Westfalen, DE",51.23521,6.787736,Green Beetle Hanger,Hesperomyces virescens,,,"51.23521,6.787736"
38148063,2019/05/16 10:26 PM CEST,16/05/2019,,,2019-05-16 20:26:00 UTC,Paris,1493700,karsten_s,iNaturalist,2020-01-31 16:17:56 UTC,2020-06-11 04:41:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38148063,https://static.inaturalist.org/photos/39066720/medium.jpeg,"Ludwigsburg, Germany",48.89406,9.195464,Hesperomyces virescens,Hesperomyces virescens,,,"48.89406,9.195464"
,,18/05/2019,,,18/05/2019 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.48758,6.907139,,Hesperomyces virescens,,,"51.48758,6.907139"
36945787,2019/05/19 2:32 PM CEST,19/05/2019,,,2019-05-19 12:32:00 UTC,Paris,2283087,gomphide,iNaturalist,2019-12-25 20:02:22 UTC,2020-06-11 04:41:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36945787,https://inaturalist-open-data.s3.amazonaws.com/photos/58485655/medium.jpg,"1227 Carouge, Suisse",46.17858,6.138605,Green Beetle Hanger,Hesperomyces virescens,,,"46.17858,6.138605"
,,19/05/2019,,,19/05/2019 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,49.46781,8.564234,,Hesperomyces virescens,,,"49.46781,8.564234"
25544691,2019/05/21 6:30 PM CEST,21/05/2019,,,2019-05-21 16:30:00 UTC,Berlin,32124,martingrimm,iNaturalist,2019-05-22 04:53:07 UTC,2020-06-11 04:44:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25544691,https://inaturalist-open-data.s3.amazonaws.com/photos/39581239/medium.jpg,"SchleuÃƒÅ¸ig, Leipzig, Deutschland",51.32498,12.35539,Green Beetle Hanger,Hesperomyces virescens,,,"51.32498,12.35539"
25585866,2019/05/22 10:24 AM +03,22/05/2019,,,2019-05-22 07:24:00 UTC,Istanbul,1703763,zmei,iNaturalist,2019-05-22 22:18:38 UTC,2021-06-27 19:30:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25585866,https://inaturalist-open-data.s3.amazonaws.com/photos/39644246/medium.jpg,"Grad Sofiya, Stolichna, Bulgaria",42.67194,23.33083,Green Beetle Hanger,Hesperomyces virescens,,,"42.67194,23.33083"
34171346,Thu May 23 2019 15:45:22 GMT+0200 (GMT+2),23/05/2019,,,2019-05-23 13:45:22 UTC,Africa/Johannesburg,1312397,mister_bumble,iNaturalist,2019-10-10 18:44:45 UTC,2020-06-11 04:45:51 UTC,research,CC-BY,https://www.inaturalist.org/observations/34171346,https://inaturalist-open-data.s3.amazonaws.com/photos/39706545/medium.jpg,"Eisenacher StraÃƒÅ¸e 25, Berlin, Berlin, DE",52.44733,13.3952,Green Beetle Hanger,Hesperomyces virescens,,,"52.44733,13.3952"
34171375,Thu May 23 2019 16:22:08 GMT+0200 (GMT+2),23/05/2019,,,2019-05-23 14:22:08 UTC,Africa/Johannesburg,1312397,mister_bumble,iNaturalist,2019-10-10 18:45:21 UTC,2020-06-11 04:45:52 UTC,research,CC-BY,https://www.inaturalist.org/observations/34171375,https://inaturalist-open-data.s3.amazonaws.com/photos/39708139/medium.jpg,"12109, Berlin, Berlin, DE",52.4502,13.39399,Hesperomyces virescens,Hesperomyces virescens,,,"52.4502,13.39399"
34171327,Fri May 24 2019 15:29:02 GMT+0200 (GMT+2),24/05/2019,,,2019-05-24 13:29:02 UTC,Africa/Johannesburg,1312397,mister_bumble,iNaturalist,2019-10-10 18:44:19 UTC,2020-06-11 04:45:51 UTC,research,CC-BY,https://www.inaturalist.org/observations/34171327,https://inaturalist-open-data.s3.amazonaws.com/photos/39796474/medium.jpg,Germany,52.43584,13.36408,Green Beetle Hanger,Hesperomyces virescens,,,"52.43584,13.36408"
,,24/05/2019,,,24/05/2019 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,49.39103,8.804083,,Hesperomyces virescens,,,"49.39103,8.804083"
25727282,2019/05/25 12:05 PM CEST,25/05/2019,,,2019-05-25 10:05:00 UTC,Berlin,32124,martingrimm,iNaturalist,2019-05-25 12:24:36 UTC,2020-06-11 04:41:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25727282,https://inaturalist-open-data.s3.amazonaws.com/photos/39881107/medium.jpg,"Mitte, Leipzig, Deutschland",51.34527,12.37104,Green Beetle Hanger,Hesperomyces virescens,,,"51.34527,12.37104"
25727284,2019/05/25 12:12 PM CEST,25/05/2019,,,2019-05-25 10:12:00 UTC,Berlin,32124,martingrimm,iNaturalist,2019-05-25 12:24:38 UTC,2020-06-11 04:41:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25727284,https://inaturalist-open-data.s3.amazonaws.com/photos/39881116/medium.jpg,"Mitte, Leipzig, Deutschland",51.34503,12.37058,Green Beetle Hanger,Hesperomyces virescens,,,"51.34503,12.37058"
,,25/05/2019,,,25/05/2019 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,48.84464,12.93215,,Hesperomyces virescens,,,"48.84464,12.93215"
,,27/05/2019,,,27/05/2019 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.93006,7.97159,,Hesperomyces virescens,,,"51.93006,7.97159"
26062940,2019/05/30 1:26 PM CEST,30/05/2019,,,2019-05-30 11:26:00 UTC,Berlin,213733,inasiebert,iNaturalist,2019-05-30 15:40:57 UTC,2020-06-11 04:41:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26062940,https://inaturalist-open-data.s3.amazonaws.com/photos/40435734/medium.jpg,"Neuenheim, Heidelberg, Deutschland",49.4147,8.667263,Green Beetle Hanger,Hesperomyces virescens,,,"49.4147,8.667263"
34171279,Thu May 30 2019 16:20:19 GMT+0200 (GMT+2),30/05/2019,,,2019-05-30 14:20:19 UTC,Africa/Johannesburg,1312397,mister_bumble,iNaturalist,2019-10-10 18:43:13 UTC,2020-06-11 04:45:57 UTC,research,CC-BY,https://www.inaturalist.org/observations/34171279,https://inaturalist-open-data.s3.amazonaws.com/photos/40434803/medium.jpg,"Eisenacher StraÃƒÅ¸e 31A, Berlin, Berlin, DE",52.44703,13.39697,Green Beetle Hanger,Hesperomyces virescens,,,"52.44703,13.39697"
